,Tanggal Tweet,Tweet Text,Jumlah Retweet,Jumlah Likes,Username,Language,Clean_text,Clean_text_length,sentiment,sentiment_analyser,compound_score,compound_score_sentiment
0,2022-05-31 13:34:06+00:00,"Despite the climate controversies swirling around #NFTs, 

NFTs can also help save the Planet 🌍 for REAL!

Just like #BeverlyTrees 🌳 that allows its players to help with the reforestation in the real world by just playing the game 🔥

🌍 https://t.co/45BlCDMc8n

#Crypto #P2E https://t.co/bPjdDpdzvq",0,0,beverlytrees,en,despit climat controversi swirl around #nft nft also help save planet real just like #beverlytre that allow player help with reforest real world just play game http blcdmc #crypto http bpjddpdzvq,195,"Sentiment(polarity=0.0, subjectivity=0.3333333333333333)","{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.9246}",0.9246,Positive
1,2022-05-31 13:33:12+00:00,"CULTIVE OUTRA ÁRVORE!
Sua árvore será plantada pela Eden Reforestation Projects. Você ganhou 100 pontos de energia para começar a cultivar outra E-tree!",0,0,mozneda,pt,cultiv outra rvore rvore plantada pela eden reforest project ganhou ponto energia para come cultivar outra tree,111,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
2,2022-05-31 13:32:58+00:00,"Certificado De Árvore
Sua árvore será a 37686ª árvore plantada. A árvore será plantada pela Eden Reforestation Projects.
Tipo de árvore:
Mangue
Local:
Quênia",0,0,mozneda,pt,certificado rvore rvore rvore plantada rvore plantada pela eden reforest project tipo rvore mangu local,103,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
3,2022-05-31 13:30:02+00:00,"Biochar 🪨
Category: Carbon removal; Long-lived storage
Typical cost: £100-200/tCO2
Example: The Future Forest Company

An overview of carbon offset project types: https://t.co/Z8fYOriZQg https://t.co/bP3F3vt45g",0,0,luneclimate,en,biochar categori carbon remov long live storag typic cost exampl futur forest compani overview carbon offset project type http fyorizqg http,140,"Sentiment(polarity=0.043181818181818175, subjectivity=0.45)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
4,2022-05-31 13:29:34+00:00,Planting trees on the #GreatGreenWall across the #Sahel #ClimateActionNow #JubileeTreeFor the #Queen #Mango #FoodForTheFuture #reforestation #Gambia https://t.co/9ZGJ5z5ZWT,0,0,RosettaCeesay,en,plant tree #greatgreenwal across #sahel #climateactionnow #jubileetreefor #queen #mango #foodforthefutur #reforest #gambia http,127,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
5,2022-05-31 13:10:04+00:00,@miyunabeb ang sayaaa nasolve ng weebs ang need for reforestation!,0,1,ugaytsu,tl,sayaaa nasolv weeb need reforest,32,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
6,2022-05-31 13:02:56+00:00,"@VetoNutri @BonPote Il y a des associations de reforestation, ou de sauvegarde d'animaux. Pour calculer il y a un outil sur le site de la Fondation GoodPlanet https://t.co/ATZk8wuh2E",0,0,EmmaLataste,fr,associ reforest sauvegard animaux pour calcul outil site fondat goodplanet http atzk,84,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
7,2022-05-31 12:20:14+00:00,"📢Introducing the $FRUIT token

$FRUIT is a new token paired with $FOREST which is rewarded to EVERGREEN NFT holders. We'll create a $FRUIT treasury to invest in various reforestation projects, with these investments yielding returns that will be split into 2 investment pools: https://t.co/J18ldzM0d7",0,7,YIELDTREES,en,introduc fruit token fruit token pair with forest which reward evergreen holder creat fruit treasuri invest variou reforest project with these invest yield return that will split into invest pool http ldzm,205,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.5719}",0.5719,Positive
8,2022-05-31 12:05:07+00:00,@park_hyungjun12 Oppa .what is your opinion about green revolution or reforestation?,0,2,Jayashr16037838,en,oppa what your opinion about green revolut reforest,51,"Sentiment(polarity=-0.2, subjectivity=0.3)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
9,2022-05-31 11:50:54+00:00,"@BaronKesteven @aveganrebel @RealCallence @coolestrogen Non-food crops can still be grown on non-arable land, like hemp for clothing, swithgrass for biofuel, etc). We can use that land for reforestation, renewal of grasslands and rewilding. 

You're welcome to collect manure without chopping animals into pieces though.",0,0,troskinny,en,food crop still grown arabl land like hemp cloth swithgrass biofuel that land reforest renew grassland rewild welcom collect manur without chop anim into piec though,165,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3612}",0.3612,Positive
