,Tanggal Tweet,Tweet Text,Jumlah Retweet,Jumlah Likes,Username,Language,Clean_text,Clean_text_length,sentiment,sentiment_analyser,compound_score,compound_score_sentiment
0,2022-05-31 13:34:52+00:00,"https://t.co/HyOPli7azD

Many social housing tenants are suffering due to air pollution and lack of any help from anyone.

Smoking doesn’t just harm the smoker - secondhand smoke harms bystanders.

Smoke-free housing should be a right for tenants. An option for non-smokers.",0,0,P03940098,en,http hyopli mani social hous tenant suffer pollut lack help from anyon smoke doesn just harm smoker secondhand smoke harm bystand smoke free hous should right tenant option smoker,179,"Sentiment(polarity=0.15476190476190477, subjectivity=0.42559523809523814)","{'neg': 0.306, 'neu': 0.55, 'pos': 0.144, 'compound': -0.7783}",-0.7783,Negative
1,2022-05-31 13:34:00+00:00,Or maybe it’s air pollution and adenovirus https://t.co/v5FRMZpLRE,0,0,Szeal2,en,mayb pollut adenoviru http frmzplre,35,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
2,2022-05-31 13:31:53+00:00,"1)I am not saying govt. is not doing anything but the rules are not followed due to corruption.The PM is thumping his chest that his govt. is clean but who will clean the land, water and air pollution and clean the corruption on the money spent over it...(contd.)",0,0,KrabhishekTwits,en,say govt do anyth rule follow corrupt thump chest that govt clean will clean land water pollut clean corrupt money spent over contd,131,"Sentiment(polarity=1.3877787807814457e-17, subjectivity=0.7000000000000001)","{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.7964}",0.7964,Positive
3,2022-05-31 13:31:51+00:00,@sacep_org exists @kdrarvind @a_khosla let's work together with @AirQualityAsia parliamentary groups across South Asia to make SACEP framework stronger on air pollution https://t.co/4iQyywGLCV,0,0,ShaziaZRafi,en,exist work togeth with parliamentari group across south asia make sacep framework stronger pollut http iqyywglcv,112,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.3818}",0.3818,Positive
4,2022-05-31 13:30:00+00:00,"If you or a member of your family suffers from respiratory issues, air pollution may be to blame. Oliver can help restore the air quality in your home so you and your loved ones can breathe better and stay healthy. https://t.co/m1fhAzqPGm https://t.co/g8ROzQDawq",0,0,Oliverhvac,en,member your famili suffer from respiratori issu pollut blame oliv help restor qualiti your home your love one breath better stay healthi http fhazqpgm http rozqdawq,164,"Sentiment(polarity=0.5, subjectivity=0.55)","{'neg': 0.161, 'neu': 0.572, 'pos': 0.267, 'compound': 0.5994}",0.5994,Positive
5,2022-05-31 13:29:57+00:00,"The IASI and GOME-2 instruments on board our Metop satellites follow atmospheric degradation over very large megacities. In most of them a study shows that air pollution ⬆️ between 8 to 14% every year between 2005 and 2018, causing excess mortality. OV:🇫🇷 /🇬🇧🇩🇪 Flemish below https://t.co/LeP7jodxtq",0,1,eumetsat,en,iasi gome instrument board metop satellit follow atmospher degrad over veri larg megac most them studi show that pollut between everi year between caus excess mortal flemish below http jodxtq,191,"Sentiment(polarity=0.5, subjectivity=0.5)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
6,2022-05-31 13:27:05+00:00,"Seems...very bad?
""One area where the EPA is scaling back — rather than rebuilding — is monitoring air pollution. This month, the agency suspended monitoring for ammonia, sulfur and other pollutants at more than two dozen places across the country, citing budget constraints."" https://t.co/fkFnlqXiUR https://t.co/z9X2VY9oiW",0,0,Ben_Inskeep,en,seem veri area where scale back rather than rebuild monitor pollut thi month agenc suspend monitor ammonia sulfur other pollut more than dozen place across countri cite budget constraint http fkfnlqxiur http,207,"Sentiment(polarity=0.125, subjectivity=0.2916666666666667)","{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative
7,2022-05-31 13:26:30+00:00,"The three R's - reduce, reuse, and recycle and the most environmentally preferred. Since we are saving resources and sending less trash to the landfills, it helps in reducing air and water pollution. 💚💚💚
#MissEarth
#MissEarthAustralia
#MEACares
Image by EKM-Mittelsachsen https://t.co/R0fuh7xEqV",0,0,MissEarthAu,en,three reduc reus recycl most environment prefer sinc save resourc send less trash landfil help reduc water pollut #missearth #missearthaustralia #meacar imag mittelsachsen http xeqv,181,"Sentiment(polarity=0.16666666666666669, subjectivity=0.2833333333333333)","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.6845}",0.6845,Positive
8,2022-05-31 13:25:58+00:00,"@bandkailasa #hint_for_band @Kailashkher 
@sahityaakademi #कुछ_असली @raghuwanshibaba #भोले_बाबा @Kavishala_Hindi @my_rajasthan #spiritual_tourism @incredibleindia #for_mental_pollution_madhuvan_is_solution #divine_love_in_the_air https://t.co/Tr3J5Q55gb",0,0,Dev35Dev,und,#hint band #spiritu tourism #for mental pollut madhuvan solut #divin love http,78,"Sentiment(polarity=0.2, subjectivity=0.4)","{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}",0.6369,Positive
9,2022-05-31 13:25:11+00:00,"As ever, great work by @EPScotland raising awareness of air pollution in Scotland. 

In a few weeks it is #CleanAirDay and if you want to see what's happening in Scotland, contact @EPScotland or @JohnBynorth 

#LowEmissionZone
#LEZ https://t.co/dsHl7yemfW",1,2,DrIMcLellanUWS,en,ever great work rais awar pollut scotland week #cleanairday want what happen scotland contact #lowemissionzon #lez http dshl yemfw,130,"Sentiment(polarity=0.8, subjectivity=0.75)","{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.6597}",0.6597,Positive
