,Tanggal Tweet,Tweet Text,Jumlah Retweet,Jumlah Likes,Username,Language,Clean_text,Clean_text_length,sentiment,sentiment_analyser,compound_score,compound_score_sentiment
0,2022-05-31 13:25:28+00:00,"@crepusculi @KirkGeohegan @jamtodTwit @FatherSund @ForteCatholic @brandonransom @HelmickeyMouse @distribudad @BackwardsFeet @auberonquinblog @Pontifex @USCCB @BishopBarron @catholicpat @VaticanGoogles @jimmyfallon @quantumtemporis @clericalpod @romancircuspod @TaylorSchroll @PappaSciarappa FIFTY FIVE “please remove me from this email chain” reply-all emails to delete this morning!  Given that deleting emails brings me great joy, it’s gonna be a good day. https://t.co/JIP6jiP2Gl",0,1,tpwallisch,en,fifti five pleas remov from thi email chain repli email delet thi morn given that delet email bring great gonna good http,121,"Sentiment(polarity=0.75, subjectivity=0.675)","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.7906}",0.7906,Positive
1,2022-05-31 12:54:01+00:00,"Yesterday I watched my elderly dad checking his email. I saw him spend a solid 10 minutes clicking on each promotional email individually and deleting it (he’d been in the hospital a week)
I saw first hand how marketers are literally stealing minutes of his life from him.",0,2,hbhanoo,en,yesterday watch elderli check email spend solid minut click each promot email individu delet been hospit week first hand market liter steal minut life from,155,"Sentiment(polarity=0.125, subjectivity=0.21666666666666667)","{'neg': 0.107, 'neu': 0.733, 'pos': 0.16, 'compound': 0.1531}",0.1531,Positive
2,2022-05-31 12:52:26+00:00,"I have closed down the email account, changed all my accounts over to my personal email. I will eventually be deleting this account, so if you want to continue interacting with me, please follow @_trulybizarre 🖤",1,1,murderandmore,en,have close down email account chang account over person email will eventu delet thi account want continu interact with pleas follow,131,"Sentiment(polarity=-0.15555555555555559, subjectivity=0.2888888888888889)","{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.0772}",0.0772,Positive
3,2022-05-31 12:35:39+00:00,"me wondering why my storage won’t free up despite deleting a lot of stuff
also my email: https://t.co/4WTg8mfIC5",0,5,kvzuhas_,en,wonder storag free despit delet stuff also email http mfic,58,"Sentiment(polarity=0.4, subjectivity=0.8)","{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.5106}",0.5106,Positive
4,2022-05-31 11:58:20+00:00,@MackeyLee55 @duty2warn And all they have to do is catch him on deleting even just one email and now they have him on obstruction of justice. He’d be in worse trouble.,0,3,Hyporeality1,en,they have catch delet even just email they have obstruct justic wors troubl,75,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
5,2022-05-31 11:51:32+00:00,@SoumithPal We also recommend deleting your tweet because your personal info (email address) was shared. Thanks.,0,0,TeamYouTube,en,also recommend delet your tweet becaus your person info email address share thank,81,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.7351}",0.7351,Positive
6,2022-05-31 10:37:13+00:00,@Activision hi am having trouble deleting my Activision account joined to callofduty as don't have email when unlinking,0,0,JeromeW43077327,en,have troubl delet activis account join callofduti have email when unlink,72,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.296,Positive
7,2022-05-31 10:27:06+00:00,@TahjSales @BitLifeApp Same I think I'm just done in general because every time there is a new update something always goes wrong I'm going to wait and see if they respond to my email today and if not I'm just deleting the app and asking for a refund on my stuff because it's unplayable.,0,0,Christisawsome1,en,same think just done gener becaus everi time there updat someth alway goe wrong go wait they respond email today just delet ask refund stuff becaus unplay,154,"Sentiment(polarity=-0.25, subjectivity=0.5125)","{'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
8,2022-05-31 10:00:12+00:00,"1. Unverify your company email address by deleting it in your Email settings. You can then re-add it without verifying to keep any associated commits linked to your account.

🧵⬇",0,2,thecodemancer_,en,unverifi your compani email address delet your email set then without verifi keep associ commit link your account,113,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.296}",0.296,Positive
9,2022-05-31 06:35:28+00:00,"@niteshghn Hey there! For security, we'd recommend deleting your message as the video contain private info. Can you send us a DM with your account's email address, along with the device, operating system, and Spotify version you're using instead? We'll see what we can suggest. https://t.co/ldFdZRiNAt",0,0,SpotifyCares,en,there secur recommend delet your messag video contain privat info send with your account email address along with devic oper system spotifi version use instead what suggest http ldfdzrinat,188,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.3612}",0.3612,Positive
10,2022-05-31 05:05:23+00:00,"@ChannelDukh Can you share more details abt your concern? Also, for security reasons, we recommend deleting your tweet as it contains personal info (email address).",0,1,TeamYouTube,en,share more detail your concern also secur reason recommend delet your tweet contain person info email address,109,"Sentiment(polarity=0.5, subjectivity=0.5)","{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.5719}",0.5719,Positive
11,2022-05-31 03:20:15+00:00,I appreciate the kindness and generosity I've been shown but I'm deleting my public email for the last time because some smoothbrains can't take a hint.,0,18,BB_Bit,en,appreci kind generos been shown delet public email last time becaus some smoothbrain take hint,94,"Sentiment(polarity=0.19999999999999998, subjectivity=0.3444444444444445)","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5267}",0.5267,Positive
12,2022-05-31 01:17:11+00:00,"@joshmcgoo If you haven't already, residency will help you perfect the skill of deleting 95% of your email inbox without reading.",0,7,JacobFlemingMD,en,haven alreadi resid will help perfect skill delet your email inbox without read,79,"Sentiment(polarity=1.0, subjectivity=1.0)","{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.7506}",0.7506,Positive
13,2022-05-31 00:55:50+00:00,Taking the extra 2 seconds it takes to unsubscribe instead of just deleting the email &gt;,0,24,LeeJacksonVA,en,take extra second take unsubscrib instead just delet email,58,"Sentiment(polarity=0.0, subjectivity=0.05)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
