,Tanggal Tweet,Tweet Text,Jumlah Retweet,Jumlah Likes,Username,Language,Clean_text,Clean_text_length,sentiment,sentiment_analyser,compound_score,compound_score_sentiment
0,2022-05-31 11:36:56+00:00,“The fossil fuel industry has deeply penetrated politics and even the Cop process itself. It will do everything it can to throw a monkey wrench and delay action.” @ClimateHuman https://t.co/7nzGkERMhI,1,0,MartenRobert,en,fossil fuel industri deepli penetr polit even process itself will everyth throw monkey wrench delay action http nzgkermhi,121,"Sentiment(polarity=0.025, subjectivity=0.05)","{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative
1,2022-05-31 04:24:11+00:00,"@TalatHussain12 Mr. Scientist, can you please enlighten us on how to protest which is our right in a regime which brutally suppressed it.",0,0,iqbal_akhtar,en,scientist pleas enlighten protest which right regim which brutal suppress,73,"Sentiment(polarity=-0.29464285714285715, subjectivity=0.7678571428571428)","{'neg': 0.372, 'neu': 0.427, 'pos': 0.201, 'compound': -0.4215}",-0.4215,Negative
2,2022-05-31 00:26:48+00:00,"Entrevistas duras y deprimentes de leer y está a Peter Kalmus científico experto en cambio climático 👇🏽👇🏽
""I don’t think we should just talk about future generations any more, because people are dying right now, all around the world"". https://t.co/mxCVLulxwr",0,0,camilobarriost,en,entrevista dura depriment leer peter kalmu cient fico experto cambio clim tico think should just talk about futur gener more becaus peopl die right around world http mxcvlulxwr,176,"Sentiment(polarity=0.39285714285714285, subjectivity=0.5178571428571428)","{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.6326}",-0.6326,Negative
3,2022-05-30 21:11:42+00:00,https://t.co/5XauxbWCeW,0,1,SigurdHole,und,http xauxbwcew,14,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
4,2022-05-30 20:54:24+00:00,"Peter Kalmus: ‘Three-quarters of global heating is caused by burning fossil fuels. Everything else we talk about – planting trees, carbon captures, carbon offsets – is just rearranging deckchairs.’ | Climate crisis | The Guardian https://t.co/leSVcdlIWf",3,10,GardeningWell,en,peter kalmu three quarter global heat caus burn fossil fuel everyth els talk about plant tree carbon captur carbon offset just rearrang deckchair climat crisi guardian http lesvcdliwf,183,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
5,2022-05-30 20:01:07+00:00,@ChristosArgyrop The only scientist I remember resigning in protest was @RickABright https://t.co/PoGgE0MilZ,2,8,nailatrahman,en,onli scientist rememb resign protest http pogg milz,51,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.5267}",-0.5267,Negative
6,2022-05-30 17:48:49+00:00,"A moving article from the excellent climate scientist, activist and climate communicator @ClimateHuman 

It’s hard not to feel despair at the current state of global climate policies and the dominance of the fossil fuel industry 😢

https://t.co/INUcOykZLh",6,17,IrishDocsEnv,en,move articl from excel climat scientist activist climat commun hard feel despair current state global climat polici domin fossil fuel industri http inucoykzlh,158,"Sentiment(polarity=-0.09722222222222222, subjectivity=0.3138888888888889)","{'neg': 0.139, 'neu': 0.749, 'pos': 0.112, 'compound': 0.0772}",0.0772,Positive
7,2022-05-30 13:32:18+00:00,"@JessicaBCooper Nothing like sticking it to a dead painter and scientist who created his masterwork centuries before the Industrial Revolution to protest climate change! Way to go, cake guy!",0,2,AmusingGrace21,en,noth like stick dead painter scientist creat masterwork centuri befor industri revolut protest climat chang cake,112,"Sentiment(polarity=-0.2, subjectivity=0.4)","{'neg': 0.289, 'neu': 0.596, 'pos': 0.115, 'compound': -0.5859}",-0.5859,Negative
8,2022-05-30 11:50:51+00:00,"Peter Kalmus: ‘As a species, we’re on autopilot, not making the right decisions’  https://t.co/sjYQRStdbC",0,0,mthld,en,peter kalmu speci autopilot make right decis http sjyqrstdbc,60,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
9,2022-05-30 09:27:59+00:00,"#CO2 is 421.46 @NOAAClimate ,
-1.75 ppm from BAU,
in week 197 of
@GretaThunberg ‘s
#FridaysForFuture
#ClimateStrike 

#StandWithUkraine 
🟦🟦🟦🟦
🟨🟨🟨🟨

“change the goal
from the accumulation of capital
to the flourishing of all people”
@ClimateHuman
https://t.co/cknVJHtsRV https://t.co/JWE75VInXP",0,1,DeweyRants,en,from week #fridaysforfutur #climatestrik #standwithukrain chang goal from accumul capit flourish peopl http cknvjhtsrv http vinxp,129,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
