,Tanggal Tweet,Tweet Text,Jumlah Retweet,Jumlah Likes,Username,Language,Clean_text,Clean_text_length,sentiment,sentiment_analyser,compound_score,compound_score_sentiment
0,2022-05-31 13:34:33+00:00,Yeah we even started global warming and corona virus https://t.co/XLmMNNe5Og,0,0,95_97tk,en,yeah even start global warm corona viru http xlmmnne,52,"Sentiment(polarity=0.3, subjectivity=0.3)","{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.4767}",0.4767,Positive
1,2022-05-31 13:34:18+00:00,"@queenie_znlsl @BTS_twt global warming

My favorite Billboard Hot Trending Song is #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon",0,0,bunny_chim1301,en,global warm favorit billboard trend song #withyou #jimin #btsjimin #bt sungwoon,79,"Sentiment(polarity=0.3, subjectivity=0.3)","{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2263}",0.2263,Positive
2,2022-05-31 13:34:10+00:00,@BrknMan @rextalman @MartinBrampton @JsharkJill @Tark4Real @Stephen90045069 @Royalacresrod @weberj502 @IanHugh07940666 @KeillerDon @DawnTJ90 @LeopoldDilge @LarsNewbould @markp1950 @HumbugSonof @WayneAllanH @johnson_wrjohn1 @ianbrow97534170 @mike_maric @docca75 @LesJohnsonHrvat @drfeedbacker @OffGridTech_net @freddie07068768 @JosieLe62818667 @MikeDel21893959 @nick_advice @deirdreritchi10 @cjtjgeol @Barrtecforever @chimera414 @IanDJbrown2 @IngersolRobert @Tcaddy5 @footofwrath @dick_zinno @IcnirpMick @insane_voice @BobANDE42235496 @plindseyusa @textranquilo @DickMackintosh @WinWithScience @douglasritz @cydney0071 @MarionMartin199 @riskparty63 @EDavidAn @Paul204731131 @DrDMurray1 Did you miss this?https://t.co/egLiz2j5Gm,0,0,F59Man,en,miss thi http egliz,19,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative
3,2022-05-31 13:34:05+00:00,@6ixbuzztv So 78 years ago was the previous record. Was that because of global warming as well back then or..?,0,0,TypeToSnipe,en,year previou record that becaus global warm well back then,58,"Sentiment(polarity=0.19999999999999998, subjectivity=0.19999999999999998)","{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.4588}",0.4588,Positive
4,2022-05-31 13:32:02+00:00,"I really must issue a warning-
She’s got enough hot air this morning
That I have to fear
The atmosphere 
Will react with more global warming.",0,0,Gisele23935327,en,realli must issu warn enough thi morn that have fear atmospher will react with more global warm,95,"Sentiment(polarity=0.275, subjectivity=0.4)","{'neg': 0.221, 'neu': 0.674, 'pos': 0.105, 'compound': -0.3446}",-0.3446,Negative
5,2022-05-31 13:31:35+00:00,@glinch72 @ItsTheAtmospher @aSinister @VictorJennpaul @Neilcharles1450 @JohnOz1900 @hoothathuh @fishyfish67 @Jaisans @biffmack @MrAntiWoke @Anvndarnamn5 @cbeckj @BellRoniBell @girl_pilled @RAM0667 @ALefty123 @tbone9070 @ArtysHouse @JonRFleming @NavyBrat59 @MinnesotaExpat @ShastaGecko @Guardia56241490 @DelusionsMass @Trumpbangskids @ChrisBBacon3 @David4677484957 @6lennybravo @Lorrilala @Alfred_StatesX @BL20422822 @RustyAway @theDVSMarcus @Barbarajdurkin @MikeDel21893959 @insane_voice @EducatingTrump2 @MedBennett @ic_lib @SampsonRamm @DebraMMason1 @DeniersAreDerp @GSwarthout @JeffBernard1 @Based_inReality @RobertVonB1 @Jonnyporkchop @DamienHamilto17 Yet the tropical troposphere which is the theoretical key to proving CO2's link to global warming is showing minimal warming. Also if the Arctic is warming faster than other places then doesn't that mean that other places have not warmed very much? 1° c is all we've seen globally,0,1,prof_SJGreene,en,tropic tropospher which theoret prove link global warm show minim warm also arctic warm faster than other place then doesn that mean that other place have warm veri much seen global,181,"Sentiment(polarity=0.20375000000000001, subjectivity=0.40374999999999994)","{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.6808}",0.6808,Positive
6,2022-05-31 13:30:46+00:00,"@JosiahHawthorne @sewistwrites Global warming.

(Just kidding...)",0,2,tulipgrrl,en,global warm just kid,20,"Sentiment(polarity=0.3, subjectivity=0.3)","{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.2263}",0.2263,Positive
7,2022-05-31 13:30:34+00:00,"@percabethery With all the bullshit going on in the world, wars, oppression, slavery, global warming, inflation, you’re worried about a word in a fictional tv show being offensive. Take it somewhere else. Your virtue signaling does nothing to help anyone.",0,0,MrTruthandLogic,en,with bullshit go world war oppress slaveri global warm inflat worri about word fiction show be offens take somewher els your virtu signal doe noth help anyon,157,"Sentiment(polarity=0.3, subjectivity=0.3)","{'neg': 0.218, 'neu': 0.652, 'pos': 0.13, 'compound': -0.6249}",-0.6249,Negative
8,2022-05-31 13:30:13+00:00,So wait? There was global warming 78 years ago too? https://t.co/3oSWe1UQty,0,0,DDP2121,en,wait there global warm year http osw uqti,41,"Sentiment(polarity=0.3, subjectivity=0.3)","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.2263}",0.2263,Positive
9,2022-05-31 13:29:41+00:00,"Venus, planet of love Was destroyed by global warming Did its people want too much, too? Did its people want too much?",0,0,jiwoopopper,en,venu planet love destroy global warm peopl want much peopl want much,68,"Sentiment(polarity=0.21666666666666665, subjectivity=0.26666666666666666)","{'neg': 0.182, 'neu': 0.365, 'pos': 0.453, 'compound': 0.4939}",0.4939,Positive
10,2022-05-31 13:29:40+00:00,@compound248 Fossil Energy will ramp up at the cost of global warming and higher sea levels,0,0,KopiBin1,en,fossil energi will ramp cost global warm higher level,53,"Sentiment(polarity=0.2833333333333333, subjectivity=0.3666666666666667)","{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.2263}",0.2263,Positive
11,2022-05-31 13:29:19+00:00,"Modern rates of carbon emissions &amp; warming are faster than anything we have observed over Earth history for at least the last 65 million years,"" Rapid rates of change mean, for example, that biosphere (global ecosystem) doesn’t have very much time to adapt to new conditions."" https://t.co/YPQh08eU91",0,1,ObiWan0001,en,modern rate carbon emiss warm faster than anyth have observ over earth histori least last million year rapid rate chang mean exampl that biospher global ecosystem doesn have veri much time adapt condit http ypqh,211,"Sentiment(polarity=0.05535714285714286, subjectivity=0.3220238095238095)","{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.2263}",0.2263,Positive
